facilityid,name,address,city,county,state,zip,capacity,type,securelvl,status,ice_facility,flood_risk_rating,flood_risk,confidence,distance,depth_cm_100_year_flood,heat_risk_rating,heat_risk,hist_90,hist_105,late45_90,late45_105,late85_90,late85_105,paris_90,paris_105,wildfire_risk_rating,wildfire_risk,mean_percentile
10000727,WOMEN'S COMMUNITY CORRECTION CENTER,324 NORTH 6TH STREET,ALLENTOWN,LEHIGH,PA,18102,-999,COUNTY,MINIMUM,NOT AVAILABLE,N,1,Minimal,high,0,0,2,Moderate,16.0862,0,54.069,6.93103,85.7586,27.1552,47.1724,4.22414,1,minimal,6
10005513,CHATHAM COUNTY DETENTION CENTER,627 RENAISSANCE DRIVE,PITTSBORO,CHATHAM,NC,27312,-999,COUNTY,NOT AVAILABLE,OPEN,N,1,Minimal,high,0,0,3,Major,50.4571,1.94286,100.067,20.6,128.143,55.3619,93.7238,15.0476,1,minimal,61
10005502,CHOWAN LAW ENFORCEMENT CENTER,305 WEST FREEMASON STREET,EDENTON,CHOWAN,NC,27932,-999,COUNTY,NOT AVAILABLE,OPEN,N,1,Minimal,high,0,0,4,Severe,57.8077,4.88462,106.462,30.6154,133.385,67.2308,100.154,24.3077,1,minimal,58
10002834,WALKER COUNTY JAIL,751 FM 2821 W,HUNTSVILLE,WALKER,TX,77320,268,COUNTY,NOT AVAILABLE,OPEN,N,1,Minimal,medium-high,0.0017677268576273021,0,5,Extreme,111.583,10.3304,152.965,66.113,174.522,110.391,147.991,57.0522,2,low,80
10002852,WALLER COUNTY JAIL,701 CALVIT ST,HEMPSTEAD,WALLER,TX,77445,110,COUNTY,NOT AVAILABLE,OPEN,N,1,Minimal,medium-high,0.013958305091812883,0,5,Extreme,120.184,12.6579,160.053,71.8421,180.132,118.263,155.355,62.4737,1,minimal,63
10006643,ABRAXAS I,165 ABRAXAS ROAD,MARIENVILLE,FOREST,PA,16239,204,STATE,JUVENILE,OPEN,N,1,Minimal,high,0,0,1,Low,1.57813,0,24.6406,0.4375,57.75,9.40625,18.0781,0,1,minimal,39
10006642,ABRAXAS ACADEMY,1000 ACADEMY DRIVE,MORGANTOWN,BERKS,PA,19543,156,STATE,JUVENILE,OPEN,N,1,Minimal,medium-high,0.06853400410208789,0,2,Moderate,15.8102,0,53.9781,6.67153,85.5766,26.5182,47.292,4.23358,1,minimal,46
10004046,CLAY COUNTY DETENTION CENTER,14 S WATER ST,LIBERTY,CLAY,MO,64068,-999,COUNTY,NOT AVAILABLE,OPEN,N,1,Minimal,high,0,0,3,Major,39.3729,3.30508,85.661,24.5763,111.847,56.7966,79.8983,18.9322,1,minimal,22
10005390,CHARITON COUNTY JAIL / SHERIFF,307 SOUTH CHERRY STREET,KEYTESVILLE,CHARITON,MO,65261,32,COUNTY,NOT AVAILABLE,OPEN,N,7,Not Available,low,0.718478035752055,148,3,Major,40.9304,3.94783,87.9391,26.9652,113.965,59.113,81.9913,20.7565,1,minimal,55
10005389,CLINTON COUNTY JAIL / SHERIFF,207 NORTH MAIN STREET,PLATTSBURG,CLINTON,MO,64477,31,COUNTY,NOT AVAILABLE,OPEN,N,1,Minimal,high,0,0,3,Major,36.3492,3.01587,82.3492,22.2063,109.254,53.6825,76.4286,16.9048,1,minimal,66
10006476,LAFAYETTE COUNTY JAIL,5 COURTHOUSE SQUARE,LEWISVILLE,LAFAYETTE,AR,71845,-999,COUNTY,NOT AVAILABLE,OPEN,N,1,Minimal,medium-high,0.0363929273621361,0,4,Severe,97.3289,11.7105,137.908,61.0526,160.158,101.474,132.303,53.3421,1,minimal,35
10003448,CACHE COUNTY JAIL / SHERIFF,1225 W 200 N,LOGAN,CACHE,UT,84321,-999,COUNTY,NOT AVAILABLE,OPEN,N,1,Minimal,medium-high,0.0030809201595881916,0,1,Low,2.02645,0,16.2698,0.137566,37.1058,1.68254,12.5714,0,5,severe,91
10005407,DENT COUNTY SHERIFF'S DEPARTMENT,112 EAST 5TH STREET,SALEM,DENT,MO,65560,21,COUNTY,NOT AVAILABLE,OPEN,N,1,Minimal,high,0,0,3,Major,46.0755,2.16981,92.3585,28.6698,119.802,62.7075,87.0755,23.0566,2,low,79
10005544,ITAWAMBA COUNTY JAIL,201 SOUTH CUMMINGS STREET,FULTON,ITAWAMBA,MS,38843,-999,COUNTY,NOT AVAILABLE,OPEN,N,1,Minimal,medium-high,0.013183477605063361,0,4,Severe,78.8481,5.3038,124.797,42.4557,148.608,82.7089,118.557,34.8228,1,minimal,37
10003477,MILLARD COUNTY JAIL / SHERIFF,765 S HWY 99,FILLMORE,MILLARD,UT,84631,-999,COUNTY,NOT AVAILABLE,OPEN,N,1,Minimal,high,0,0,2,Moderate,11.7742,0,52.908,0.27881,83.9647,3.90056,44.8058,0,6,extreme,98
10004265,JACKSON COUNTY ADULT DETENTION CENTER,65 BRUCE EVANS DR.,PASCAGOULA,JACKSON,MS,39567,-999,COUNTY,MAXIMUM,OPEN,N,6,Major,medium-high,0.007154616750997408,73,4,Severe,98.7766,3.35106,144.096,39.1489,168.553,93.7447,137.223,28.7128,1,minimal,55
10000729,YOUTH FORESTRY CAMP #3,4534 TARKILN ROAD,JAMES CREEK,HUNTINGDON,PA,16657,50,STATE,JUVENILE,OPEN,N,1,Minimal,high,0,0,1,Low,9.02857,0,44.3786,3.74286,77.8786,19.9143,37.7571,1.88571,1,minimal,51
10001994,BEXAR COUNTY ADULT DETENTION CENTER ANNEX,222 S COMAL ST,SAN ANTONIO,BEXAR,TX,78207,1733,COUNTY,MEDIUM,OPEN,N,1,Minimal,high,0,0,5,Extreme,111.285,4.52326,154.471,50.8023,177.488,103.18,149.692,41.2093,1,minimal,6
10003452,WEBER COUNTY JAIL / SHERIFF,721 W 12TH ST,OGDEN,WEBER,UT,84404,888,COUNTY,MAXIMUM,OPEN,Y,4,Moderate,high,0,0,1,Low,4.76636,0,26.1215,0.205607,49.0841,2.64486,21.5421,0,1,minimal,6
10003471,WASATCH COUNTY JAIL,1361 S US HWY 40,HEBER CITY,WASATCH,UT,84032,-999,COUNTY,NOT AVAILABLE,OPEN,N,1,Minimal,high,0,0,0,Minimal,0.0612245,0,2.54592,0,13.8214,0.0918367,1.62245,0,5,severe,91
10002616,UTAH COUNTY JAIL,3075 N MAIN ST,SPANISH FORK,UTAH,UT,84660,1019,FEDERAL,MAXIMUM,OPEN,Y,1,Minimal,medium,0.12733858017150748,0,1,Low,4.27545,0,27.0269,0.188623,51.8982,2.26946,22.0389,0,5,severe,93
10003450,WEBER COUNTY JAIL - KIESEL FACILITY,370 26TH ST,OGDEN,WEBER,UT,84401,300,COUNTY,MINIMUM,OPEN,N,1,Minimal,high,0,0,1,Low,4.76636,0,26.1215,0.205607,49.0841,2.64486,21.5421,0,1,minimal,6
10003486,SOUTHWEST UTAH YOUTH CENTER,270 E 1600 N,CEDAR CITY,IRON,UT,84720,20,STATE,JUVENILE,OPEN,N,1,Minimal,high,0,0,1,Low,3.35178,0,30.2115,0,61.6542,1.31423,23.3083,0,3,moderate,84
10003455,FARMINGTON BAY YOUTH CENTER,907 W CLARK LANE,FARMINGTON,DAVIS,UT,84025,42,STATE,JUVENILE,OPEN,N,6,Major,high,0,18,2,Moderate,13.0571,0,51.5714,0.742857,78.4286,7.07619,44.9048,0.514286,3,moderate,83
10006452,POTTER COUNTY INIFIRMARY,13100 NE 29TH,AMARILLO,POTTER,TX,79111,27,COUNTY,NOT AVAILABLE,OPEN,N,1,Minimal,high,0,0,3,Major,39.0769,0,87.7385,2.77692,119.969,26.4923,81.9462,1.19231,6,extreme,96
10003380,VAN WERT COUNTY CORRECTIONAL FACILITY,204 N WASHINGTON ST,VAN WERT,VAN WERT,OH,45891,78,COUNTY,NOT AVAILABLE,OPEN,N,1,Minimal,high,0,0,2,Moderate,19.5625,0.484375,64.1563,12.625,94.0313,35.1094,56.9844,8.23438,1,minimal,6
10004381,YOUNG COUNTY JAIL,315 NORTH CLIFF DRIVE,GRAHAM,YOUNG,TX,76450,144,COUNTY,NOT AVAILABLE,OPEN,N,1,Minimal,medium-high,0.0460404385736873,0,4,Severe,96.9462,7.26923,136,51.8692,160.592,95.0231,130.854,43.5923,4,major,90
10006808,DOUGLAS COUNTY JAIL / SHERIFF,209 SE 2ND AVE,AVA,DOUGLAS,MO,65608,-999,COUNTY,NOT AVAILABLE,OPEN,N,1,Minimal,high,0,0,3,Major,46.9167,2.00833,93.1583,28.2833,121.425,63.2833,88.025,22.425,2,low,79
10001628,FRANKLIN COUNTY DETENTION FACILITY,1 BRUNS DRIVE,UNION,FRANKLIN,MO,63084,130,COUNTY,MAXIMUM,OPEN,N,1,Minimal,medium-high,0.058849774001670234,0,3,Major,47.78,3.02,93.7267,30.7267,119.653,62.9867,88.3867,25.2067,1,minimal,75
10001634,GREENE COUNTY JAIL,1000 N BOONVILLE AVE,SPRINGFIELD,GREENE,MO,65802,610,COUNTY,MAXIMUM,OPEN,N,1,Minimal,medium-high,0.024413754281492766,0,3,Major,45.6699,2.19417,92.1748,27.4757,119.592,62.8835,86.6505,20.9806,1,minimal,6
10003460,DECKER LAKE YOUTH CENTER,2310 W 2770 S,WEST VALLEY CITY,SALT LAKE,UT,84119,30,STATE,JUVENILE,OPEN,N,1,Minimal,high,0,0,1,Low,7.85156,0,37.5469,0.429688,63.2344,4.07031,31.8984,0.125,1,minimal,21
10003570,ROGERS COUNTY JAIL/AMOS G WARD DETENTION FACILITY,201 S CHEROKEE AVE,CLAREMORE,ROGERS,OK,74017,-999,COUNTY,NOT AVAILABLE,OPEN,N,1,Minimal,high,0,0,4,Severe,74,9.43243,114.784,49.2703,138.82,85.0901,109.108,41.955,1,minimal,17
10003488,DIXIE AREA DETENTION CENTER / GATEWAY YOUTH CENTER,330 S 5300 W,HURRICANE,WASHINGTON,UT,84737,40,STATE,JUVENILE,OPEN,N,1,Minimal,high,0,0,2,Moderate,22.7951,0.00269542,56.2237,1.93531,85.3639,9.96496,49.1078,1.05121,6,extreme,100
10003090,SHUMAN JUVENILE DETENTION CENTER,7150 HIGHLAND DRIVE,PITTSBURGH,ALLEGHENY,PA,15206,120,COUNTY,JUVENILE,OPEN,N,1,Minimal,high,0,0,2,Moderate,12.2193,0,53.9649,5.71053,89.1754,26.2456,46.6053,3.07895,1,minimal,26
10003483,CANYONLANDS YOUTH HOME,244 W OLD RUIN RD,BLANDING,SAN JUAN,UT,84511,16,STATE,JUVENILE,OPEN,N,1,Minimal,high,0,0,2,Moderate,18.3007,0,56.0116,0.738194,87.0389,6.84673,48.7954,0.382767,3,moderate,82
10003472,SLATE CANYON YOUTH CENTER,1991 S STATE ST,PROVO,UTAH,UT,84606,70,STATE,JUVENILE,OPEN,N,1,Minimal,medium-high,0.05415382696853883,0,1,Low,4.27545,0,27.0269,0.188623,51.8982,2.26946,22.0389,0,2,low,77
10003479,CENTRAL UTAH YOUTH CENTER,449 NO. HIGHWAY 89,RICHFIELD,SEVIER,UT,84701,16,STATE,JUVENILE,OPEN,N,1,Not Available,low,3.601267392937521,0,0,Minimal,0.834483,0,11.0552,0,30.6207,0.410345,8.07241,0,4,major,89
10002709,YOUTH CENTER OF THE HIGH PLAINS,9300 S GEORGIA,AMARILLO,RANDALL,TX,79118,86,COUNTY,JUVENILE,OPEN,N,1,Minimal,medium-high,0.059352248509918444,0,3,Major,33.6615,0,85.2231,1.95385,119.308,22.2385,78.9077,0.761538,5,severe,95
10003435,WARREN COUNTY JAIL,550 JUSTICE DR,LEBANON,WARREN,OH,45036,280,COUNTY,MAXIMUM,OPEN,N,1,Minimal,medium,0.22111231716379032,0,2,Moderate,24.2787,0.639344,72.4918,13.8033,103.213,39.5738,65.2787,9.5082,1,minimal,31
10005512,DAVIDSON COUNTY DETENTION FACILITY,110 WEST CENTER STREET,LEXINGTON,DAVIDSON,NC,27292,283,COUNTY,NOT AVAILABLE,OPEN,N,1,Minimal,medium-high,0.04605121110021437,0,3,Major,47.2442,1,96.9535,17.9186,126.047,52.7907,90.9302,12.6279,1,minimal,12
10005382,HARRISON COUNTY JAIL / SHERIFF,1501 CENTRAL STREET,BETHANY,HARRISON,MO,64424,42,COUNTY,NOT AVAILABLE,OPEN,N,1,Minimal,high,0,0,3,Major,31.0185,2.80556,76.1852,18.6944,103.63,47.9259,70.1389,13.8148,1,minimal,57
10005395,HENRY COUNTY JAIL / SHERIFF,200 N. MAIN ST.,CLINTON,HENRY,MO,64735,112,COUNTY,NOT AVAILABLE,OPEN,N,1,Minimal,high,0,0,3,Major,50.3613,5.36134,94.7647,33.4622,119.899,66.2437,89.5546,27.3193,1,minimal,53
10001702,SANPETE COUNTY JAIL,1500 S HWY 89,MANTI,SANPETE,UT,84642,128,COUNTY,NOT AVAILABLE,OPEN,N,1,Minimal,medium,0.46511048779786784,0,1,Low,1.26877,0,14.5731,0,35.5613,0.683794,10.8933,0,5,severe,95
10002185,MANATEE COUNTY STOCKADE COMPLEX,14494 HARLEE RD,PALMETTO,MANATEE,FL,34221,420,COUNTY,MINIMUM,OPEN,N,6,Major,high,0,58,5,Extreme,141.04,3.13861,179.792,65.3366,195.653,125.743,174.901,48.2772,4,major,86
10003469,UINTAH COUNTY JAIL,641 E 300 S,VERNAL,UINTAH,UT,84078,-999,COUNTY,NOT AVAILABLE,OPEN,N,1,Minimal,high,0,0,1,Low,5.6014,0,31.6196,0.131469,60.4336,2.27972,26.0238,0.0167832,1,minimal,22
10003427,WASHINGTON COUNTY JAIL,101 WESTVIEW AVE,MARIETTA,WASHINGTON,OH,45750,124,COUNTY,NOT AVAILABLE,OPEN,N,6,Major,medium-high,0.03452941111879018,0,2,Moderate,19.8866,0,67,9.05155,100.753,34.0928,59.7113,5.76289,1,minimal,29
10006838,WASHINGTON COUNTY JUVENILE CENTER,1699 COLEGATE DRIVE,MARIETTA,WASHINGTON,OH,45750,25,COUNTY,JUVENILE,OPEN,N,6,Major,high,0,375,2,Moderate,19.8866,0,67,9.05155,100.753,34.0928,59.7113,5.76289,1,minimal,21
10003454,SUMMIT COUNTY CORRECTIONS / JUSTICE CENTER,6300 JUSTICE CENTER RD,PARK CITY,SUMMIT,UT,84098,-999,COUNTY,NOT AVAILABLE,OPEN,N,1,Minimal,medium-high,0.06613415383881897,0,0,Minimal,0.0371622,0,2.49324,0,13.6318,0.0540541,1.52365,0,6,extreme,99
10003482,SAN JUAN COUNTY JAIL / SHERIFF'S OFFICE,297 S MAIN ST,MONTICELLO,SAN JUAN,UT,84535,120,COUNTY,NOT AVAILABLE,OPEN,N,1,Minimal,medium-high,0.038423345677473644,0,2,Moderate,18.3007,0,56.0116,0.738194,87.0389,6.84673,48.7954,0.382767,3,moderate,82
10005448,RICH COUNTY JAIL,20 S MAIN ST,RANDOLPH,RICH,UT,84064,-999,COUNTY,NOT AVAILABLE,OPEN,N,1,Minimal,high,0,0,0,Minimal,0.00571429,0,3.93143,0,24.4057,0.0342857,2.33714,0,5,severe,92
10005510,DAVIE COUNTY DETENTION CENTER,135 GREEN STREET,MOCKSVILLE,DAVIE,NC,27028,72,COUNTY,NOT AVAILABLE,OPEN,N,1,Minimal,high,0,0,3,Major,44.9318,0.727273,95,16.5909,124.659,51.4545,88.7727,11.6591,1,minimal,58
10005880,IRON COUNTY JAIL,220 SOUTH SHEPHERD STREET,IRONTON,IRON,MO,63650,-999,COUNTY,NOT AVAILABLE,OPEN,N,1,Minimal,high,0,0,3,Major,42.6875,1.4625,90.2,24.425,118.275,58.1,84.725,19.1125,2,low,78
10006809,JACKSON COUNTY REGIONAL CORRECTIONAL CENTER,505 E. 13TH STREET,KANSAS CITY,JACKSON,MO,64106,-999,COUNTY,NOT AVAILABLE,OPEN,N,1,Minimal,medium-high,0.07301994638504614,0,3,Major,44.7653,4.10204,90.602,28.5102,115.867,61.4796,85,22.398,1,minimal,6
10001762,DURHAM COUNTY DETENTION FACILITY,219 S MANGUM ST,DURHAM,DURHAM,NC,27701,736,COUNTY,MAXIMUM,OPEN,N,1,Minimal,high,0,0,4,Severe,51.5333,2.22222,100.267,22.3111,127.667,57.1778,93.9111,16.4667,1,minimal,6
